,ID,descriptions,prices,Brand,rating,free_shipping,daraz_mall,seller_rating,ontime_rating
30,31,"Oppo A57 2022 - 6.5"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","Rs. 26,999",No Brand,0,Pakistan,0,76%,100%
31,32,"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 49,999",No Brand,0,Free Shipping,0,95%,85%
32,33,"Infinix Hot 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 37,999",No Brand,0,Free Shipping,0,0%,100%
33,34,"Redmi A2 Plus , 3GB RAM 64GB ROM , 8MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 19,999",No Brand,0,Free Shipping,0,95%,85%
34,35,Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 50,699",No Brand,5,Free Shipping,0,90%,100%
35,36,Original Vivo Y85 with Box & Charger - Dual Sim Approved - Vivo Y85a - 4GB RAM Mobile - Snapdragon Mobile,"Rs. 15,999",No Brand,4.7,Free Shipping,0,92%,100%
36,37,"Oppo A57 - 5.2"" HD Display - 4GB RAM - 64GB ROM - Dual Sim - PTA Approved - Phone And Box Only (Charger, Accessories Not Included - Mix Color)","Rs. 13,999",No Brand,4.9,Pakistan,0,76%,100%
37,38,Itel A60s || 4GB + 128GB || 6.6 inches IPS Display || Battery Li-Po 5000 mAh,"Rs. 22,999",No Brand,5,Free Shipping,0,94%,92%
38,39,Itel S23 - 8GB Ram - 256GB Rom - 5000mAh Battery,"Rs. 31,000",No Brand,4.8,Pakistan,0,95%,100%
39,40,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 46,999",No Brand,0,Free Shipping,0,95%,100%
40,41,Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13,"Rs. 34,999",No Brand,4.6,Free Shipping,0,0%,100%
41,42,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 49,999",Xiaomi,4.9,Pakistan,0,92%,100%
42,43,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,"Rs. 19,399",Xiaomi,4.9,Pakistan,0,92%,100%
43,44,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"Rs. 64,499",No Brand,4.7,Free Shipping,0,0%,100%
44,45,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 32,999",No Brand,4,Free Shipping,0,0%,100%
45,46,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,"Rs. 50,499",Redmi,4.4,Free Shipping,0,85%,100%
46,47,"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 43,499",No Brand,4,Free Shipping,0,0%,100%
47,48,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 38,450",Tecno,0,Free Shipping,0,89%,100%
48,49,Samsung Galaxy A14 6GB+128GB,"Rs. 54,999",Samsung,0,Pakistan,0,92%,100%
49,50,Samsung Galaxy A24 8GB+128GB,"Rs. 72,999",Samsung,5,Pakistan,0,92%,100%
50,51,itel A60s 4GB RAM* +128GB ROM 6.6″ HD+ Display 5000mAh Battery PTA approved Official Brand Warranty,"Rs. 22,399",itel,5,Free Shipping,0,85%,100%
51,52,"Infinix Hot 30 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 36,999",No Brand,4.8,Free Shipping,0,95%,85%
52,53,Redmi A2+ || 3GB Ram 64GB Rom || 5000mAh Battery Xiaomi Redmi A2 Plus,"Rs. 19,999",No Brand,0,Free Shipping,0,91%,74%
53,54,"Redmi 12C - 6.71"" Inch Display - 4GB RAM","Rs. 25,990",No Brand,0,Free Shipping,0,85%,100%
54,55,Samsung Galaxy A04 4GB+64GB,"Rs. 42,999",Samsung,0,Pakistan,0,92%,100%
55,56,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 46,999",No Brand,1,Free Shipping,0,95%,85%
56,57,Samsung Galaxy A14 4GB+128GB,"Rs. 51,999",Samsung,0,Pakistan,0,92%,100%
57,58,Xiaomi Redmi Note 12 || 8GB Ram 128GB Rom || 5000mAh Battery 33W Fast Charger,"Rs. 50,399",No Brand,0,Free Shipping,0,91%,74%
